,method,graph_type,planted_k,planted_gamma,bipartite,trial,num_true_positive,num_detected,num_total,time,method_params,detected_density,actual_density
6,densest_subgraph,,18,1.0,False,6,18,596,596,0.08029075066248575,,0.05747278777282725,1.0
7,densest_subgraph,,18,1.0,False,7,18,596,596,0.07379966974258423,,0.05743612881394168,1.0
8,densest_subgraph,,18,1.0,False,8,18,596,596,0.0748656193415324,,0.05746432801308443,1.0
9,densest_subgraph,,18,1.0,False,9,18,596,596,0.0788440982500712,,0.057455868253341605,1.0
0,densest_subgraph,,19,1.0,False,0,19,596,596,0.07386600176493327,,0.057532006091027016,1.0
1,densest_subgraph,,19,1.0,False,1,19,596,596,0.07159003416697184,,0.05756302521008403,1.0
2,densest_subgraph,,19,1.0,False,2,19,596,596,0.07927075227101645,,0.057574304889741135,1.0
3,densest_subgraph,,19,1.0,False,3,19,596,596,0.07493811845779419,,0.05755456545034121,1.0
4,densest_subgraph,,19,1.0,False,4,19,596,596,0.071988316377004,,0.0575884044893125,1.0
5,densest_subgraph,,19,1.0,False,5,19,596,596,0.07138183116912841,,0.057577124809655406,1.0
6,densest_subgraph,,19,1.0,False,6,19,596,596,0.07129884958267212,,0.057540465850769835,1.0
7,densest_subgraph,,19,1.0,False,7,19,596,596,0.07437776724497477,,0.05751508657154137,1.0
8,densest_subgraph,,19,1.0,False,8,19,596,596,0.07182948191960653,,0.05758558456939823,1.0
9,densest_subgraph,,19,1.0,False,9,19,596,596,0.06945795218149821,,0.05756584512999831,1.0
0,densest_subgraph,,20,1.0,False,0,20,596,596,0.07057953278223673,,0.05760532400879815,1.0
1,densest_subgraph,,20,1.0,False,1,20,596,596,0.07031571467717489,,0.057667362246912185,1.0
2,densest_subgraph,,20,1.0,False,2,20,596,596,0.07241499821345011,,0.05767018216682646,1.0
3,densest_subgraph,,20,1.0,False,3,20,596,596,0.06934953530629476,,0.057664542326997914,1.0
4,densest_subgraph,,20,1.0,False,4,20,596,596,0.07367941935857138,,0.05765326264734082,1.0
5,densest_subgraph,,20,1.0,False,5,20,596,596,0.07101850112279257,,0.05761660368845525,1.0
6,densest_subgraph,,20,1.0,False,6,20,596,596,0.07013949950536093,,0.05763352320794089,1.0
7,densest_subgraph,,20,1.0,False,7,20,596,596,0.06995670000712077,,0.057664542326997914,1.0
8,densest_subgraph,,20,1.0,False,8,20,596,596,0.06916201909383138,,0.05764762280751227,1.0
9,densest_subgraph,,20,1.0,False,9,20,596,596,0.0698452631632487,,0.05763916304776944,1.0
0,densest_subgraph,,21,1.0,False,0,21,596,596,0.07121524810791016,,0.05776887936382607,1.0
1,densest_subgraph,,21,1.0,False,1,21,596,596,0.07200090090433757,,0.057743500084597596,1.0
2,densest_subgraph,,21,1.0,False,2,21,596,596,0.07095871766408285,,0.0577209407252834,1.0
3,densest_subgraph,,21,1.0,False,3,21,596,596,0.06928458213806152,,0.0577209407252834,1.0
4,densest_subgraph,,21,1.0,False,4,21,596,596,0.07004690170288086,,0.057698381365969206,1.0
5,densest_subgraph,,21,1.0,False,5,21,596,596,0.07032994826634725,,0.057735040324854776,1.0
6,densest_subgraph,,21,1.0,False,6,21,596,596,0.06969518264134725,,0.057704021205797755,1.0
7,densest_subgraph,,21,1.0,False,7,21,596,596,0.07068742911020914,,0.057794258643054534,1.0
8,densest_subgraph,,21,1.0,False,8,21,596,596,0.07335928281148275,,0.05779989848288308,1.0
9,densest_subgraph,,21,1.0,False,9,21,596,596,0.06925856669743856,,0.057794258643054534,1.0
0,densest_subgraph,,22,1.0,False,0,22,596,596,0.07136311928431192,,0.057861936720997126,1.0
1,densest_subgraph,,22,1.0,False,1,22,596,596,0.06973465283711751,,0.05789013592013987,1.0
2,densest_subgraph,,22,1.0,False,2,22,596,596,0.06870789925257365,,0.05785065704134003,1.0
3,densest_subgraph,,22,1.0,False,3,22,596,596,0.06991712252298991,,0.0578534769612543,1.0
4,densest_subgraph,,22,1.0,False,4,22,596,596,0.07033344904581705,,0.05783655744176865,1.0
5,densest_subgraph,,22,1.0,False,5,22,596,596,0.07188820044199626,,0.05784783712142575,1.0
6,densest_subgraph,,22,1.0,False,6,22,596,596,0.07067216634750366,,0.05787885624048277,1.0
7,densest_subgraph,,22,1.0,False,7,22,596,596,0.06967800060908,,0.05781399808245446,1.0
8,densest_subgraph,,22,1.0,False,8,22,596,596,0.07124414841334024,,0.05787885624048277,1.0
9,densest_subgraph,,22,1.0,False,9,22,596,596,0.07085989713668824,,0.05780271840279736,1.0
0,densest_subgraph,,23,1.0,False,0,23,596,596,0.06966063181559244,,0.05793243471885398,1.0
1,densest_subgraph,,23,1.0,False,1,23,596,596,0.0696832021077474,,0.058036771755682136,1.0
2,densest_subgraph,,23,1.0,False,2,23,596,596,0.0710871696472168,,0.05801985223619649,1.0
3,densest_subgraph,,23,1.0,False,3,23,596,596,0.07084381580352783,,0.057994472956968024,1.0
4,densest_subgraph,,23,1.0,False,4,23,596,596,0.06945830186208089,,0.057991653037053746,1.0
5,densest_subgraph,,23,1.0,False,5,23,596,596,0.06973578135172526,,0.05801703231628222,1.0
6,densest_subgraph,,23,1.0,False,6,23,596,596,0.06999940077463786,,0.05800011279679657,1.0
7,densest_subgraph,,23,1.0,False,7,23,596,596,0.06981746753056844,,0.057921155039196884,1.0
8,densest_subgraph,,23,1.0,False,8,23,596,596,0.0711520512898763,,0.05798319327731093,1.0
9,densest_subgraph,,23,1.0,False,9,23,596,596,0.07106130520502726,,0.057997292876882295,1.0
0,densest_subgraph,,24,1.0,False,0,24,596,596,0.07173103094100952,,0.05811290959336755,1.0
1,densest_subgraph,,24,1.0,False,1,24,596,596,0.0702789306640625,,0.05810444983362473,1.0
2,densest_subgraph,,24,1.0,False,2,24,596,596,0.07042361895243326,,0.05811290959336755,1.0
3,densest_subgraph,,24,1.0,False,3,24,596,596,0.07102154890696208,,0.05806215103491061,1.0
4,densest_subgraph,,24,1.0,False,4,24,596,596,0.07085046370824179,,0.058115729513281825,1.0
5,densest_subgraph,,24,1.0,False,5,24,596,596,0.0698069175084432,,0.058042411595510685,1.0
6,densest_subgraph,,24,1.0,False,6,24,596,596,0.0725035031636556,,0.058076250634481984,1.0
7,densest_subgraph,,24,1.0,False,7,24,596,596,0.07084328730901082,,0.05812136935311037,1.0
8,densest_subgraph,,24,1.0,False,8,24,596,596,0.06975131829579671,,0.05803113191585359,1.0
9,densest_subgraph,,24,1.0,False,9,24,596,596,0.07193447748819987,,0.05805651119508206,1.0
0,densest_subgraph,,25,1.0,False,0,25,596,596,0.07192241748174032,,0.05823416614968135,1.0
1,densest_subgraph,,25,1.0,False,1,25,596,596,0.0706303318341573,,0.058242625909424174,1.0
2,densest_subgraph,,25,1.0,False,2,25,596,596,0.0707549810409546,,0.05819468727088151,1.0
3,densest_subgraph,,25,1.0,False,3,25,596,596,0.07178455193837484,,0.05818622751113869,1.0
4,densest_subgraph,,25,1.0,False,4,25,596,596,0.070480215549469,,0.058245445829338445,1.0
5,densest_subgraph,,25,1.0,False,5,25,596,596,0.07166466712951661,,0.05826800518865264,1.0
6,densest_subgraph,,25,1.0,False,6,25,596,596,0.07022428115208944,,0.058169307991653034,1.0
7,densest_subgraph,,25,1.0,False,7,25,596,596,0.06934489806493123,,0.058239805989509896,1.0
8,densest_subgraph,,25,1.0,False,8,25,596,596,0.07003209590911866,,0.05825390558908127,1.0
9,densest_subgraph,,25,1.0,False,9,25,596,596,0.07079774538675944,,0.05820314703062433,1.0
0,densest_subgraph,,26,1.0,False,0,26,596,596,0.07375094890594483,,0.05837798206530934,1.0
1,densest_subgraph,,26,1.0,False,1,26,596,596,0.07014269828796386,,0.058284924708138286,1.0
2,densest_subgraph,,26,1.0,False,2,26,596,596,0.07014153401056926,,0.05830184422762393,1.0
3,densest_subgraph,,26,1.0,False,3,26,596,596,0.07102118333180746,,0.058327223506852405,1.0
4,densest_subgraph,,26,1.0,False,4,26,596,596,0.07011366287867228,,0.05831594382719531,1.0
5,densest_subgraph,,26,1.0,False,5,26,596,596,0.07407466570536296,,0.05831030398736676,1.0
6,densest_subgraph,,26,1.0,False,6,26,596,596,0.0706262191136678,,0.058366702385652246,1.0
7,densest_subgraph,,26,1.0,False,7,26,596,596,0.071397598584493,,0.058358242625909426,1.0
8,densest_subgraph,,26,1.0,False,8,26,596,596,0.0711310346921285,,0.05834132310642378,1.0
9,densest_subgraph,,26,1.0,False,9,26,596,596,0.07148093779881795,,0.058245445829338445,1.0
0,densest_subgraph,,27,1.0,False,0,27,596,596,0.07002848386764526,,0.05842592070385201,1.0
1,densest_subgraph,,27,1.0,False,1,27,596,596,0.0714255968729655,,0.05846821950256613,1.0
2,densest_subgraph,,27,1.0,False,2,27,596,596,0.06992998123168945,,0.058487958941966046,1.0
3,densest_subgraph,,27,1.0,False,3,27,596,596,0.07386746406555175,,0.05856127685973719,1.0
4,densest_subgraph,,27,1.0,False,4,27,596,596,0.07600591182708741,,0.0584710394224804,1.0
5,densest_subgraph,,27,1.0,False,5,27,596,596,0.07483228842417398,,0.058487958941966046,1.0
6,densest_subgraph,,27,1.0,False,6,27,596,596,0.07293014923731486,,0.058533077660594436,1.0
7,densest_subgraph,,27,1.0,False,7,27,596,596,0.07221872011820475,,0.058485139022051776,1.0
8,densest_subgraph,,27,1.0,False,8,27,596,596,0.07116851409276327,,0.05850487846145169,1.0
9,densest_subgraph,,27,1.0,False,9,27,596,596,0.07102405230204265,,0.05844284022333766,1.0
0,densest_subgraph,,28,1.0,False,0,28,596,596,0.07152826388676961,,0.05867407365630816,1.0
1,densest_subgraph,,28,1.0,False,1,28,596,596,0.07206741571426392,,0.058614855338108396,1.0
2,densest_subgraph,,28,1.0,False,2,28,596,596,0.0754148284594218,,0.05855563701990864,1.0
3,densest_subgraph,,28,1.0,False,3,28,596,596,0.07053321599960327,,0.058544357340251534,1.0
4,densest_subgraph,,28,1.0,False,4,28,596,596,0.070858633518219,,0.05864023461733687,1.0
5,densest_subgraph,,28,1.0,False,5,28,596,596,0.06993439992268881,,0.05863459477750832,1.0
6,densest_subgraph,,28,1.0,False,6,28,596,596,0.07257394790649414,,0.058657154136822515,1.0
7,densest_subgraph,,28,1.0,False,7,28,596,596,0.07145653565724691,,0.058569736619480006,1.0
8,densest_subgraph,,28,1.0,False,8,28,596,596,0.0739189346631368,,0.05855281709999436,1.0
9,densest_subgraph,,28,1.0,False,9,28,596,596,0.0709973971048991,,0.0586035756584513,1.0
0,densest_subgraph,,29,1.0,False,0,29,596,596,0.07175483306248982,,0.058829169251593254,1.0
1,densest_subgraph,,29,1.0,False,1,29,596,596,0.06999756495157877,,0.058747391574079294,1.0
2,densest_subgraph,,29,1.0,False,2,29,596,596,0.0698153018951416,,0.0587248322147651,1.0
3,densest_subgraph,,29,1.0,False,3,29,596,596,0.0712280511856079,,0.05873047205459365,1.0
