,method,graph_type,planted_k,planted_gamma,bipartite,trial,num_true_positive,num_detected,num_total,time,method_params,detected_density,actual_density
1,fraudar,B,23,1.0,True,1,23,23,596,0.0005904475847880046,,1.0,1.0
2,fraudar,B,23,1.0,True,2,23,23,596,0.0005934476852416992,,1.0,1.0
3,fraudar,B,23,1.0,True,3,23,23,596,0.0006685813268025716,,1.0,1.0
4,fraudar,B,23,1.0,True,4,23,23,596,0.0005991856257120768,,1.0,1.0
5,fraudar,B,23,1.0,True,5,23,23,596,0.0005997697512308757,,1.0,1.0
6,fraudar,B,23,1.0,True,6,23,23,596,0.0006082177162170411,,1.0,1.0
7,fraudar,B,23,1.0,True,7,23,23,596,0.0006060322125752767,,1.0,1.0
8,fraudar,B,23,1.0,True,8,23,23,596,0.0006071170171101888,,1.0,1.0
9,fraudar,B,23,1.0,True,9,23,23,596,0.0009782552719116212,,1.0,1.0
0,fraudar,B,24,1.0,True,0,24,24,596,0.0006832003593444825,,1.0,1.0
1,fraudar,B,24,1.0,True,1,24,24,596,0.00060043732325236,,1.0,1.0
2,fraudar,B,24,1.0,True,2,24,24,596,0.0006292621294657389,,1.0,1.0
3,fraudar,B,24,1.0,True,3,24,24,596,0.0006105502446492513,,1.0,1.0
4,fraudar,B,24,1.0,True,4,24,24,596,0.0006087144215901692,,1.0,1.0
5,fraudar,B,24,1.0,True,5,24,24,596,0.0006113688151041667,,1.0,1.0
6,fraudar,B,24,1.0,True,6,24,24,596,0.0006171703338623047,,1.0,1.0
7,fraudar,B,24,1.0,True,7,24,24,596,0.0006069302558898926,,1.0,1.0
8,fraudar,B,24,1.0,True,8,24,24,596,0.0006068865458170573,,1.0,1.0
9,fraudar,B,24,1.0,True,9,24,24,596,0.0006034135818481446,,1.0,1.0
0,fraudar,B,25,1.0,True,0,25,25,596,0.0006494998931884765,,1.0,1.0
1,fraudar,B,25,1.0,True,1,25,25,596,0.0006134152412414551,,1.0,1.0
2,fraudar,B,25,1.0,True,2,25,25,596,0.0006628155708312989,,1.0,1.0
3,fraudar,B,25,1.0,True,3,25,25,596,0.0006136655807495117,,1.0,1.0
4,fraudar,B,25,1.0,True,4,25,25,596,0.0006253957748413086,,1.0,1.0
5,fraudar,B,25,1.0,True,5,25,25,596,0.0006741484006245931,,1.0,1.0
6,fraudar,B,25,1.0,True,6,25,25,596,0.0006140033404032389,,1.0,1.0
7,fraudar,B,25,1.0,True,7,25,25,596,0.0006175994873046875,,1.0,1.0
8,fraudar,B,25,1.0,True,8,25,25,596,0.0006235996882120768,,1.0,1.0
9,fraudar,B,25,1.0,True,9,25,26,596,0.0006329973538716634,,0.9705263157894737,1.0
0,fraudar,B,26,1.0,True,0,26,26,596,0.0009795347849527994,,1.0,1.0
1,fraudar,B,26,1.0,True,1,26,27,596,0.0006233016649881999,,0.9729299363057324,1.0
2,fraudar,B,26,1.0,True,2,26,26,596,0.0006267666816711426,,1.0,1.0
3,fraudar,B,26,1.0,True,3,26,26,596,0.000606381893157959,,1.0,1.0
4,fraudar,B,26,1.0,True,4,26,27,596,0.0006319999694824219,,0.9723502304147466,1.0
5,fraudar,B,26,1.0,True,5,26,26,596,0.0006241718928019206,,1.0,1.0
6,fraudar,B,26,1.0,True,6,26,26,596,0.0006711681683858236,,1.0,1.0
7,fraudar,B,26,1.0,True,7,26,26,596,0.0007667859395345052,,1.0,1.0
8,fraudar,B,26,1.0,True,8,26,26,596,0.0006191333134969076,,1.0,1.0
9,fraudar,B,26,1.0,True,9,26,26,596,0.0006228486696879069,,1.0,1.0
0,fraudar,B,27,1.0,True,0,27,27,596,0.0007425347963968912,,1.0,1.0
